table_name,documentation
Aangan_Mandey_year_wise_district_wise_category_wise_details,"Table : Aangan_Mandey_year_wise_district_wise_category_wise_details
Purpose : Stores details on the pay scale and working conditions for Aangan Mandey workers in Bihar across different districts for the years 2017-18, 2018-19 and 2019-20. It includes information on education level, designation, and social category, along with salary components, deductions and leave/attendance information.
Column Summary:
state_name : text : - Name of the state where the Aangan Mandey scheme is implemented (Bihar).
focus_area : text : - The department or sector under which the Aangan Mandey data is categorized.
year : text : - The year for which the data is recorded (2017-18, 2018-19, 2019-20).
district_name : text : - Name of the district in Bihar where the Aangan Mandey worker is employed.
education : text : - Educational qualification of the Aangan Mandey worker.
designation : text : - Job title or position of the Aangan Mandey worker.
category : text : - Social category of the Aangan Mandey worker.
deduction_in_rupee : text : - Amount deducted from the Aangan Mandey worker's salary in Indian Rupees.
number_of_absent_days : text : - Number of days the Aangan Mandey worker was absent.
number_of_paid_leave_days : text : - Number of paid leave days taken by the Aangan Mandey worker.
number_of_strike_days : text : - Number of days the Aangan Mandey worker participated in strikes.
other_deduction_in_rupee : text : - Amount of other deductions from the Aangan Mandey worker's salary in Indian Rupees.
salary_in_rupee : text : - Base salary of the Aangan Mandey worker in Indian Rupees.
state_allowance_in_rupee : text : - State allowance provided to the Aangan Mandey worker in Indian Rupees.
total_payable_amount : text : - Total payable amount to the Aangan Mandey worker in Indian Rupees.
total_working_days : text : - Total number of working days for the Aangan Mandey worker in the specified period."
Aangan_Mandey_yearwise_distrcitwise_number_of_workers,"Table : Aangan_Mandey_yearwise_distrcitwise_number_of_workers
Purpose : Stores the workforce distribution details under Bihar’s Aangan Mandey scheme across all districts for the years 2017-18, 2018-19, and 2019-20, including counts of Sahaiyaka (helpers), Sevika (workers), and Lady Supervisors by district, education level, and social category.
Column Summary:
state_name : text : - Name of the state (Bihar).
focus_area : text : - Department or sector under which the data is collected and stored.
year : text : - Year for which the workforce data is recorded (2017-18, 2018-19, 2019-20).
district_name : text : - Name of the district in Bihar.
education : text : - Educational qualification of the Aangan Mandey worker.
category : text : - Social category of the Aangan Mandey worker.
number_of_sahaiyaka : text : - Number of Sahaiyaka (helpers) in the specified district, year, education level, and category.
number_of_sevika : text : - Number of Sevika (workers) in the specified district, year, education level, and category.
number_of_lady_supervisor : text : - Number of Lady Supervisors in the specified district, year, education level, and category."
Artificial_insemination_centres_district_wise,"Table : Artificial_insemination_centres_district_wise
Purpose : Stores data on the number of Artificial Insemination Centres (Government Agencies) across different districts.
Column Summary:
sector_name : varchar : - Name of the sector to which the data belongs.
sector_id : varchar : - Unique identifier for the sector.
focus_area : varchar : - Indicates the specific area or department under focus.
year : varchar : - Year for which the data is recorded (e.g., 2015-16).
state_name : varchar : - Name of the state (Bihar).
district_name : varchar : - Name of the district.
centre_item : varchar : - Specific item related to the centre (e.g., total centres).
centre_value : varchar : - Numerical value representing the number of centres.
centre_unit : varchar : - Unit of measurement for the centre value (e.g., Number).
source : varchar : - Source of the data (e.g., Directorate of Animal Husbandry)."
Artificial_insemination_performed_on_cattle_distrcit_wise,"Table : Artificial_insemination_performed_on_cattle_distrcit_wise
Purpose : Stores data on the number of artificial inseminations performed on Bonvies, buffalo, and cattle, district-wise.
Column Summary:
sector_name : varchar : - Name of the sector.
sector_id : varchar : - ID of the sector.
focus_area : varchar : - The department or area of focus for the data collection.
year : varchar : - The year in which the artificial insemination was performed.
state_name : varchar : - Name of the state where the artificial insemination was performed (Bihar).
district_name : varchar : - Name of the district where the artificial insemination was performed.
cattle_item : varchar : - Type of cattle on which artificial insemination was performed (Bonvies, Buffalo, and Cattle).
cattle_value : varchar : - Number of artificial inseminations performed, in thousands.
cattle_unit : varchar : - Unit of measurement for the cattle value (Thousands).
source : varchar : - Source of the data (Directorate of Animal Husbandry, Animal & Fisheries, Resources Department, Govt. of Bihar)."
Bhagalpur_smartcity_projectwise_progress_report,"Table : Bhagalpur_smartcity_projectwise_progress_report
Purpose : Contains progress details of Bhagalpur Smart City projects in Bihar for the year 2024-25, including project costs, financial and physical progress, and target completion dates across various focus areas.
Column Summary:
state_name : text : - Name of the state where the project is located (Bihar).
district_name : text : - Name of the district where the project is located (Bhagalpur).
year : text : - The year for which the project progress data is reported (2024-25).
focus_area : text : - Area of focus for the project (e.g., infrastructure, public spaces, sustainability).
project_id : text : - Unique identifier for the project.
project_name : text : - Name of the Smart City project.
project_cost_in_crore : text : - Total estimated cost of the project in crore (Indian Rupees).
total_cost_in_crore : text : - The total cost of the project in crore (Indian Rupees).
financial_progress_in_crore : text : - Amount of financial expenditure incurred on the project in crore (Indian Rupees).
physical_progress_in_percentage : text : - Percentage of physical work completed on the project.
financial_progress_in_percentage : text : - Percentage of financial expenditure compared to the total project cost.
target_work_completion_date : text : - Planned date for the completion of the project work."
Bihar_District_block_wise_School_infrastructure_and_facilities,"Table : Bihar_District_block_wise_School_infrastructure_and_facilities
Purpose : Stores detailed data on school infrastructure and facilities, categorized by district and block in Bihar, including school types, building conditions, amenities, and other relevant information.
Column Summary:
district_name : varchar : - Name of the district in Bihar.
sector_name : varchar : - Name of the sector.
focus_area : varchar : - The specific area of focus within education.
year : varchar : - Year the data was collected.
state_name : varchar : - Name of the state (Bihar).
block_name : varchar : - Name of the block within the district.
school_count : int : - Total number of schools in the specified district and block.
number_of_schools_under_Department_of_Education : int : - Number of schools administered by the Department of Education.
number_of_Private_Unaided_Recognized_Schools : int : - Number of privately owned, unaided but recognized schools.
number_of_School_College_Affiliated_Schools : int : - Number of schools affiliated with colleges.
number_of_Unrecognized_Schools : int : - Number of schools that are not officially recognized.
number_of_Constituent_Colleges : int : - Number of colleges that are part of a larger university.
number_of_Buniyadi_Schools : int : - Number of Buniyadi schools.
number_of_Recognized_Aided_Sanskrit_Schools : int : - Number of recognized Sanskrit schools that receive financial aid.
number_of_madarasa_unaided_recognized_schools : int : - Number of unaided but recognized Madarasa schools.
number_of_Project_Girls_High_Schools : int : - Number of Project Girls High Schools.
number_of_Rajkiya_High_Schools : int : - Number of Rajkiya (Government) High Schools.
number_of_madarasa_unrecognized_schools : int : - Number of unrecognized Madarasa schools.
number_of_schools_under_Social_Welfare_Department : int : - Number of schools administered by the Social Welfare Department.
number_of_madarasa_aided_recognized_schools : int : - Number of aided and recognized Madarasa schools.
number_of_Recognized_Government_Unaided_Sanskrit_Schools : int : - Number of government-run, unaided but recognized Sanskrit schools.
number_of_schools_under_Tribal_Welfare_Department : int : - Number of schools administered by the Tribal Welfare Department.
number_of_Sainik_Schools : int : - Number of Sainik (Military) Schools.
number_of_Railway_Schools : int : - Number of schools run by the Railway Department.
number_of_Primary_with_Upper_Primary_Schools : int : - Number of schools offering both primary and upper primary education.
number_of_Primary_Upper_Primary_and_Secondary_Schools : int : - Number of schools offering primary, upper primary, and secondary education.
number_of_Primary_Schools : int : - Number of schools offering only primary education.
number_of_Pri_with_Upper_Pri_Sec_and_High_Sec_Schools : int : - Number of schools offering primary, upper primary, secondary, and higher secondary education.
number_of_Higher_Secondary_Only_Junior_Colleges : int : - Number of junior colleges offering only higher secondary education.
number_of_Upper_Pri_Sec_and_High_Sec_Schools : int : - Number of schools offering upper primary, secondary, and higher secondary education.
number_of_Upper_Primary_Only_Schools : int : - Number of schools offering only upper primary education.
number_of_Upper_Primary_and_Secondary_Schools : int : - Number of schools offering upper primary and secondary education.
number_of_Secondary_Only_Schools : int : - Number of schools offering only secondary education.
number_of_Urban_Schools : int : - Number of schools located in urban areas.
number_of_Rural_Schools : int : - Number of schools located in rural areas.
number_of_Government_Schools : int : - Number of government-run schools.
number_of_Private_Schools : int : - Number of privately owned schools.
number_of_Government_Schools_in_Rent_Free_Buildings : int : - Number of government schools operating in rent-free buildings.
number_of_Rented_Schools : int : - Number of schools operating in rented buildings.
number_of_Schools_Running_in_Other_Department_Buildings : int : - Number of schools running in buildings belonging to other government departments.
number_of_buildings_in_schools : int : - Total number of buildings in all schools.
number_of_blocks_in_schools : int : - Total number of blocks (separate structures) in all schools.
number_of_pucca_school_building : int : - Number of schools with permanent (pucca) buildings.
number_of_kuchcha_school_building : int : - Number of schools with temporary (kuchcha) buildings.
number_of_tents : int : - Number of schools using tents as structures.
number_of_buildings_under_construction : int : - Number of school buildings currently under construction.
number_of_Pucca_School_boundary_walls : int : - Number of schools with permanent (pucca) boundary walls.
number_of_Pucca_But_Broken_School_boundary_walls : int : - Number of schools with permanent but broken boundary walls.
number_of_Schools_with_No_Boundary_Walls : int : - Number of schools with no boundary walls.
number_of_Schools_with_Other_Boundary_Walls : int : - Number of schools with boundary walls made of other materials.
number_of_Schools_with_Partial_Boundary_Walls : int : - Number of schools with only partial boundary walls.
number_of_Schools_with_Hedges_as_Boundary_Walls : int : - Number of schools using hedges as boundary walls.
number_of_Schools_with_Under_Construction_Boundary_Walls : int : - Number of schools with boundary walls currently under construction.
number_of_Schools_with_Barbed_Wire_Fencing : int : - Number of schools with barbed wire fencing.
number_of_classrooms_used_for_instructional_purpose : int : - Number of classrooms used for teaching.
number_of_classrooms_not_used_for_instructional_purpose : int : - Number of classrooms not used for teaching.
number_of_classrooms_under_construction : int : - Number of classrooms currently under construction.
number_of_additional_classrooms : int : - Number of additional classrooms.
number_of_classrooms_for_instructional_purpose_pre_primary : int : - Number of classrooms used for pre-primary instruction.
number_of_classrooms_for_instructional_purpose_primary : int : - Number of classrooms used for primary instruction.
number_of_classrooms_for_instructional_purpose_upper_primary : int : - Number of classrooms used for upper primary instruction.
number_of_classrooms_for_instructional_purpose_secondary : int : - Number of classrooms used for secondary instruction.
number_of_classrooms_for_instructional_purpose_higher_secondary : int : - Number of classrooms used for higher secondary instruction.
number_of_other_rooms : int : - Number of other rooms in schools.
number_of_school_land_available_for_expand_school_facilities : int : - Number of schools with available land for expanding facilities.
number_of_school_land_not_available_for_expand_school_facilities : int : - Number of schools with no available land for expanding facilities.
number_of_school_with_toilet : int : - Number of schools with toilet facilities.
number_of_school_without_toilet : int : - Number of schools without toilet facilities.
number_of_schools_with_handwashing_facility_toilet_urinal : int : - Number of schools with handwashing facilities near toilets/urinals.
number_of_schools_without_handwashing_facility_toilet_urinal : int : - Number of schools without handwashing facilities near toilets/urinals.
number_of_school_having_incinerator_avail_in_girls_toilets : int : - Number of schools with incinerators available in girls' toilets.
number_of_school_not_having_incinerator_avail_in_girls_toilets : int : - Number of schools without incinerators in girls' toilets.
number_of_school_having_drinking_water_available : int : - Number of schools with drinking water available.
number_of_school_not_having_drinking_water_available : int : - Number of schools without drinking water available.
number_of_school_having_handpump_available : int : - Number of schools with a handpump available.
number_of_school_not_having_handpump_available : int : - Number of schools without a handpump available.
number_of_school_having_functional_handpump : int : - Number of schools with a functional handpump.
number_of_school_not_having_functional_handpump : int : - Number of schools without a functional handpump.
number_of_schools_having_protected_well : int : - Number of schools with a protected well.
number_of_schools_not_having_protected_well : int : - Number of schools without a protected well.
number_of_school_having_functional_protected : int : - Number of schools with a functional protected well.
number_of_school_not_having_functional_protected : int : - Number of schools without a functional protected well.
number_of_school_having_unprotected_well : int : - Number of schools with an unprotected well.
number_of_school_not_having_unprotected_well : int : - Number of schools without an unprotected well.
number_of_school_having_functional_unprotected_well : int : - Number of schools with a functional unprotected well.
number_of_school_not_having_functional_unprotected_well : int : - Number of schools without a functional unprotected well.
number_od_school_having_tap_water : int : - Number of schools with tap water available.
number_of_school_not_having_tap_water : int : - Number of schools without tap water available.
number_of_school_having_functional_tap_water : int : - Number of schools with functional tap water.
number_of_school_not_having_functional_tap_water : int : - Number of schools without functional tap water.
number_of_school_having_packaged_bottled_water : int : - Number of schools with packaged/bottled water available.
number_of_school_not_having_packaged_bottled_water : int : - Number of schools without packaged/bottled water available.
number_of_school_having_functional_packaged_bottled_water : int : - Number of schools with functional packaged/bottled water (available and usable).
number_of_school_not_having_func_packaged_bottled_water : int : - Number of schools without functional packaged/bottled water.
number_of_school_having_other_drinking_water_sources : int : - Number of schools with other sources of drinking water.
number_of_school_not_having_other_drinking_water_sources : int : - Number of schools without other sources of drinking water.
number_of_school_having_func_other_drinking_water_sources : int : - Number of schools with functional other sources of drinking water.
number_of_school_not_having_func_other_drinking_water_sources : int : - Number of schools without functional other sources of drinking water.
number_of_school_having_water_purifier_in_school : int : - Number of schools with a water purifier.
number_of_school_not_having_water_purifier_in_school : int : - Number of schools without a water purifier.
number_of_school_having_water_quality_tested : int : - Number of schools that have had their water quality tested.
number_of_school_not_having_water_quality_tested : int : - Number of schools that have not had their water quality tested.
number_of_school_having_rainwater_harvesting_in_school : int : - Number of schools with rainwater harvesting systems.
number_of_school_not_having_rainwater_harvesting_in_school : int : - Number of schools without rainwater harvesting systems.
number_of_school_having_handwashing_after_meal_in_school : int : - Number of schools promoting handwashing after meals.
number_of_school_not_having_handwashing_after_meal_in_school : int : - Number of schools not promoting handwashing after meals.
number_of_wash_points_in_school : int : - Number of hand wash points in school.
number_of_school_having_electricity_in_school : int : - Number of schools with electricity.
number_of_school_not_having_electricity_in_school : int : - Number of schools without electricity.
number_of_library_books : int : - Number of books in the school library.
number_of_ncert_books_in_library : int : - Number of NCERT books in the school library.
number_of_books_in_book_bank : int : - Number of books in the school's book bank.
number_of_ncert_books_in_book_bank : int : - Number of NCERT books in the school's book bank.
number_of_books_in_reading_corner : int : - Number of books in the school's reading corner.
school_arrangement_for_playing : int : - Indicates the school arrangement for playing.
condition_of_last_year_medical_checkup : int : - Indicates the condition of medical checkups done in schools last year.
number_of_school_having_solar_panels : int : - Number of schools with solar panels.
number_of_school_not_having_solar_panels : int : - Number of schools without solar panels.
number_of_school_having_library_in_school : int : - Number of schools with a library.
number_of_school_not_having_library_in_school : int : - Number of schools without a library.
number_of_school_having_book_bank : int : - Number of schools with a book bank.
number_of_school_not_having_book_bank : int : - Number of schools without a book bank.
number_of_school_having_reading_corner : int : - Number of schools with a reading corner.
number_of_school_not_having_reading_corner : int : - Number of schools without a reading corner.
number_of_school_having_librarian_available : int : - Number of schools with a librarian.
number_of_school_not_having_librarian_available : int : - Number of schools without a librarian.
number_of_school_having_newspapers_and_magazines : int : - Number of schools subscribing to newspapers and magazines.
number_of_school_not_having_newspapers_and_magazines : int : - Number of schools not subscribing to newspapers and magazines.
number_of_school_having_playground_facility : int : - Number of schools with a playground.
number_of_school_not_having_playground_facility : int : - Number of schools without a playground.
number_of_school_having_alternative_playground_arrangement : int : - Number of schools with alternative playground arrangements.
number_of_school_not_having_alternative_playground_arrangement : int : - Number of schools without alternative playground arrangements.
number_of_school_having_medical_checkup : int : - Number of schools conducting medical checkups.
number_of_school_not_having_medical_checkup : int : - Number of schools not conducting medical checkups.
number_of_school_having_health_height_in_school : int : - Number of schools recording students' height.
number_of_school_not_having_health_height_in_school : int : - Number of schools not recording students' height.
number_of_school_having_health_weight_in_school : int : - Number of schools recording students' weight.
number_of_school_not_having_health_weight_in_school : int : - Number of schools not recording students' weight.
number_of_school_having_health_eyes_in_school : int : - Number of schools conducting eye exams.
number_of_school_not_having_health_eyes_in_school : int : - Number of schools not conducting eye exams.
number_of_school_having_health_dental_in_school : int : - Number of schools conducting dental checkups.
number_of_school_not_having_health_dental_in_school : int : - Number of schools not conducting dental checkups.
number_of_school_having_health_throat_in_school : int : - Number of schools conducting throat examinations.
number_of_school_not_having_health_throat_in_school : int : - Number of schools not conducting throat examinations.
number_of_school_having_school_having_annual_health_record : int : - Number of schools maintaining annual health records.
number_of_school_not_having_school_having_annual_health_record : int : - Number of schools not maintaining annual health records.
number_of_school_having_thermal_scanner_in_school : int : - Number of schools with thermal scanners.
number_of_school_not_having_thermal_scanner_in_school : int : - Number of schools without thermal scanners.
number_of_school_having_first_aid_kit_in_school : int : - Number of schools with a first-aid kit.
number_of_school_not_having_first_aid_kit_in_school : int : - Number of schools without a first-aid kit.
number_of_school_having_medicines_in_schools : int : - Number of schools having medicine in schools.
number_of_school_not_having_medicines_in_schools : int : - Number of schools not having medicine in schools.
number_of_school_having_iron_and_folic_acid_tablets : int : - Number of schools distributing iron and folic acid tablets.
number_of_school_not_having_iron_and_folic_acid_tablets : int : - Number of schools not distributing iron and folic acid tablets.
number_of_school_having_ramp_in_school : int : - Number of schools with ramps for accessibility.
number_of_school_not_having_ramp_in_school : int : - Number of schools without ramps for accessibility.
number_of_school_having_hand_rails_in_school : int : - Number of schools with handrails.
number_of_school_not_having_hand_rails_in_school : int : - Number of schools without handrails.
number_of_school_having_kitchen_garden_in_school : int : - Number of schools with a kitchen garden.
number_of_school_not_having_kitchen_garden_in_school : int : - Number of schools without a kitchen garden.
number_of_school_having_kitchen_shed_in_school : int : - Number of schools with a kitchen shed.
number_of_school_not_having_kitchen_shed_in_school : int : - Number of schools without a kitchen shed.
number_of_school_having_kitchen_dustbin_in_school : int : - Number of schools with a kitchen dustbin.
number_of_school_not_having_kitchen_dustbin_in_school : int : - Number of schools without a kitchen dustbin.
number_of_students_with_furniture : int : - Number of students having access to furniture."
Bihar_district_wise_fire_vehicle,"Table : Bihar_district_wise_fire_vehicle
Purpose : Stores information about the type, number, and location of fire vehicles in each district of Bihar.
Column Summary:
type_of_fire_vehicle : text : - Type of fire vehicle (e.g., fire engine, water tanker).
number_of_fire_vehicle : text : - Number of fire vehicles of a particular type available.
district_name : text : - Name of the district where the fire vehicles are located.
dist_Code : text : - District code of the district.
latitude : text : - Latitude coordinate of the vehicle's location.
longitude : text : - Longitude coordinate of the vehicle's location.
location_of_vehicle : text : - Specific location or station where the vehicle is stationed.
range_name : text : - Name of the fire service range to which the vehicle belongs."
Bihar_district_wise_water_hydrant,"Table : Bihar_district_wise_water_hydrant
Purpose : Stores data on fire hydrants in Bihar, including source, location (latitude and longitude), fire type classification, hydrant location, district name, district code, and range name.
Column Summary:
hydrant_source : text : - Source of the hydrant data.
district_name : text : - Name of the district where the fire hydrant is located.
fireType_N : text : - Classification or type of fire hydrant.
latitude : text : - Latitude coordinate of the fire hydrant's location.
longitude : text : - Longitude coordinate of the fire hydrant's location.
hydrant_location : text : - Description of the specific location of the hydrant.
distCode : text : - District code associated with the hydrant's location.
range_name : text : - Name of the range or area to which the hydrant belongs."
Bihar_jp_senani_scheme_District_wise,"Table : Bihar_jp_senani_scheme_District_wise
Purpose : Stores district-wise data on monthly pensioners under the JP Senani scheme, including details about gender, age, matching score, and pension amounts.
Column Summary:
district_name : text : - Name of the district.
gender : text : - Gender of the pensioner.
age_of_pensioner : text : - Age of the pensioner.
matchingScore : text : - Matching score, potentially related to Aadhaar verification or other identification processes.
pension_amount : text : - Monthly pension amount allocated to the individual.
state_name : text : - Name of the state (Bihar in this case).
focus_area : text : - Department or sector focus (likely Social Welfare or a related area)."
Bihar_police_station,"Table : Bihar_police_station
Purpose : Stores administrative and policing data for Bihar, including district codes, district names, police station names, circle names, subdivisions, and range details.
Column Summary:
a_Id : text : - Unique identifier for each police station entry.
district_Code : text : - Code representing the district to which the police station belongs.
district_name : text : - Name of the district where the police station is located.
police_station : text : - Name of the police station.
circle_Name : text : - Name of the police circle to which the police station belongs.
subdivision_Name : text : - Name of the subdivision where the police station is located.
subdivision_Code : text : - Code representing the subdivision to which the police station belongs.
range_id : text : - Identifier for the police range.
rangeName : text : - Name of the police range to which the police station belongs."
