table_name,column_name,position,column_type,nullable
Aangan_Mandey_year_wise_district_wise_category_wise_details,state_name,1,text,YES
Aangan_Mandey_year_wise_district_wise_category_wise_details,focus_area,2,text,YES
Aangan_Mandey_year_wise_district_wise_category_wise_details,year,3,text,YES
Aangan_Mandey_year_wise_district_wise_category_wise_details,district_name,4,text,YES
Aangan_Mandey_year_wise_district_wise_category_wise_details,education,5,text,YES
Aangan_Mandey_year_wise_district_wise_category_wise_details,designation,6,text,YES
Aangan_Mandey_year_wise_district_wise_category_wise_details,category,7,text,YES
Aangan_Mandey_year_wise_district_wise_category_wise_details,deduction_in_rupee,8,text,YES
Aangan_Mandey_year_wise_district_wise_category_wise_details,number_of_absent_days,9,text,YES
Aangan_Mandey_year_wise_district_wise_category_wise_details,number_of_paid_leave_days,10,text,YES
Aangan_Mandey_year_wise_district_wise_category_wise_details,number_of_strike_days,11,text,YES
Aangan_Mandey_year_wise_district_wise_category_wise_details,other_deduction_in_rupee,12,text,YES
Aangan_Mandey_year_wise_district_wise_category_wise_details,salary_in_rupee,13,text,YES
Aangan_Mandey_year_wise_district_wise_category_wise_details,state_allowance_in_rupee,14,text,YES
Aangan_Mandey_year_wise_district_wise_category_wise_details,total_payable_amount,15,text,YES
Aangan_Mandey_year_wise_district_wise_category_wise_details,total_working_days,16,text,YES
Aangan_Mandey_yearwise_distrcitwise_number_of_workers,state_name,1,text,YES
Aangan_Mandey_yearwise_distrcitwise_number_of_workers,focus_area,2,text,YES
Aangan_Mandey_yearwise_distrcitwise_number_of_workers,year,3,text,YES
Aangan_Mandey_yearwise_distrcitwise_number_of_workers,district_name,4,text,YES
Aangan_Mandey_yearwise_distrcitwise_number_of_workers,education,5,text,YES
Aangan_Mandey_yearwise_distrcitwise_number_of_workers,category,6,text,YES
Aangan_Mandey_yearwise_distrcitwise_number_of_workers,number_of_sahaiyaka,7,text,YES
Aangan_Mandey_yearwise_distrcitwise_number_of_workers,number_of_sevika,8,text,YES
Aangan_Mandey_yearwise_distrcitwise_number_of_workers,number_of_lady_supervisor,9,text,YES
Artificial_insemination_centres_district_wise,sector_name,1,varchar(255),YES
Artificial_insemination_centres_district_wise,sector_id,2,varchar(255),YES
Artificial_insemination_centres_district_wise,focus_area,3,varchar(255),YES
Artificial_insemination_centres_district_wise,year,4,varchar(255),YES
Artificial_insemination_centres_district_wise,state_name,5,varchar(255),YES
Artificial_insemination_centres_district_wise,district_name,6,varchar(255),YES
Artificial_insemination_centres_district_wise,centre_item,7,varchar(255),YES
Artificial_insemination_centres_district_wise,centre_value,8,varchar(255),YES
Artificial_insemination_centres_district_wise,centre_unit,9,varchar(255),YES
Artificial_insemination_centres_district_wise,source,10,varchar(255),YES
Artificial_insemination_performed_on_cattle_distrcit_wise,sector_name,1,varchar(255),YES
Artificial_insemination_performed_on_cattle_distrcit_wise,sector_id,2,varchar(255),YES
Artificial_insemination_performed_on_cattle_distrcit_wise,focus_area,3,varchar(255),YES
Artificial_insemination_performed_on_cattle_distrcit_wise,year,4,varchar(255),YES
Artificial_insemination_performed_on_cattle_distrcit_wise,state_name,5,varchar(255),YES
Artificial_insemination_performed_on_cattle_distrcit_wise,district_name,6,varchar(255),YES
Artificial_insemination_performed_on_cattle_distrcit_wise,cattle_item,7,varchar(255),YES
Artificial_insemination_performed_on_cattle_distrcit_wise,cattle_value,8,varchar(255),YES
Artificial_insemination_performed_on_cattle_distrcit_wise,cattle_unit,9,varchar(255),YES
Artificial_insemination_performed_on_cattle_distrcit_wise,source,10,varchar(255),YES
Bhagalpur_smartcity_projectwise_progress_report,state_name,1,text,YES
Bhagalpur_smartcity_projectwise_progress_report,district_name,2,text,YES
Bhagalpur_smartcity_projectwise_progress_report,year,3,text,YES
Bhagalpur_smartcity_projectwise_progress_report,focus_area,4,text,YES
Bhagalpur_smartcity_projectwise_progress_report,project_id,5,text,YES
Bhagalpur_smartcity_projectwise_progress_report,project_name,6,text,YES
Bhagalpur_smartcity_projectwise_progress_report,project_cost_in_crore,7,text,YES
Bhagalpur_smartcity_projectwise_progress_report,total_cost_in_crore,8,text,YES
Bhagalpur_smartcity_projectwise_progress_report,financial_progress_in_crore,9,text,YES
Bhagalpur_smartcity_projectwise_progress_report,physical_progress_in_percentage,10,text,YES
Bhagalpur_smartcity_projectwise_progress_report,financial_progress_in_percentage,11,text,YES
Bhagalpur_smartcity_projectwise_progress_report,target_work_completion_date,12,text,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,district_name,1,varchar(50),YES
Bihar_District_block_wise_School_infrastructure_and_facilities,sector_name,2,varchar(50),YES
Bihar_District_block_wise_School_infrastructure_and_facilities,focus_area,3,varchar(50),YES
Bihar_District_block_wise_School_infrastructure_and_facilities,year,4,varchar(50),YES
Bihar_District_block_wise_School_infrastructure_and_facilities,state_name,5,varchar(50),YES
Bihar_District_block_wise_School_infrastructure_and_facilities,block_name,6,varchar(50),YES
Bihar_District_block_wise_School_infrastructure_and_facilities,school_count,7,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_schools_under_Department_of_Education,8,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_Private_Unaided_Recognized_Schools,9,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_School_College_Affiliated_Schools,10,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_Unrecognized_Schools,11,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_Constituent_Colleges,12,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_Buniyadi_Schools,13,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_Recognized_Aided_Sanskrit_Schools,14,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_madarasa_unaided_recognized_schools,15,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_Project_Girls_High_Schools,16,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_Rajkiya_High_Schools,17,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_madarasa_unrecognized_schools,18,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_schools_under_Social_Welfare_Department,19,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_madarasa_aided_recognized_schools,20,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_Recognized_Government_Unaided_Sanskrit_Schools,21,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_schools_under_Tribal_Welfare_Department,22,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_Sainik_Schools,23,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_Railway_Schools,24,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_Primary_with_Upper_Primary_Schools,25,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_Primary_Upper_Primary_and_Secondary_Schools,26,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_Primary_Schools,27,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_Pri_with_Upper_Pri_Sec_and_High_Sec_Schools,28,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_Higher_Secondary_Only_Junior_Colleges,29,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_Upper_Pri_Sec_and_High_Sec_Schools,30,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_Upper_Primary_Only_Schools,31,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_Upper_Primary_and_Secondary_Schools,32,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_Secondary_Only_Schools,33,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_Urban_Schools,34,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_Rural_Schools,35,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_Government_Schools,36,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_Private_Schools,37,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_Government_Schools_in_Rent_Free_Buildings,38,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_Rented_Schools,39,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_Schools_Running_in_Other_Department_Buildings,40,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_buildings_in_schools,41,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_blocks_in_schools,42,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_pucca_school_building,43,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_kuchcha_school_building,44,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_tents,45,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_buildings_under_construction,46,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_Pucca_School_boundary_walls,47,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_Pucca_But_Broken_School_boundary_walls,48,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_Schools_with_No_Boundary_Walls,49,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_Schools_with_Other_Boundary_Walls,50,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_Schools_with_Partial_Boundary_Walls,51,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_Schools_with_Hedges_as_Boundary_Walls,52,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_Schools_with_Under_Construction_Boundary_Walls,53,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_Schools_with_Barbed_Wire_Fencing,54,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_classrooms_used_for_instructional_purpose,55,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_classrooms_not_used_for_instructional_purpose,56,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_classrooms_under_construction,57,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_additional_classrooms,58,int,YES
